Timestamp,Name,Price,24h Change,Market Cap
2025-12-10 23:04:27,CoinMarketCap 20 Index DTF CMC20 Buy,$197.44,1.80%,"$6,736,894"
2025-12-10 23:04:27,Bitcoin BTC Buy,"$92,370.78",1.42%,"$1,845,210,187,589"
2025-12-10 23:04:27,Ethereum ETH Buy,"$3,361.80",0.12%,"$405,754,280,212"
2025-12-10 23:04:28,Tether USDT Buy,$0.9999,0.02%,"$186,048,747,413"
2025-12-10 23:04:28,XRP XRP Buy,$2.07,3.57%,"$124,887,376,880"
2025-12-10 23:04:28,BNB BNB Buy,$895.83,2.41%,"$123,389,066,294"
2025-12-10 23:04:28,USDC USDC Buy,$0.9998,0.01%,"$78,284,492,573"
2025-12-10 23:04:28,Solana SOL Buy,$136.60,4.65%,"$76,716,603,498"
2025-12-10 23:04:28,TRON TRX Buy,$0.2772,1.70%,"$26,246,511,401"
2025-12-10 23:04:28,Dogecoin DOGE Buy,$0.1460,3.38%,"$22,224,687,149"
2025-12-10 23:05:24,CoinMarketCap 20 Index DTF CMC20 Buy,$197.44,1.80%,"$6,736,894"
2025-12-10 23:05:24,Bitcoin BTC Buy,"$92,334.74",1.53%,"$1,845,210,187,589"
2025-12-10 23:05:24,Ethereum ETH Buy,"$3,369.43",0.05%,"$407,902,350,404"
2025-12-10 23:05:24,Tether USDT Buy,$0.9999,0.01%,"$186,044,602,542"
2025-12-10 23:05:24,XRP XRP Buy,$2.07,4.09%,"$125,115,799,233"
2025-12-10 23:05:25,BNB BNB Buy,$895.92,2.39%,"$123,401,194,415"
2025-12-10 23:05:25,USDC USDC Buy,$0.9999,0.01%,"$78,297,268,198"
2025-12-10 23:05:25,Solana SOL Buy,$136.60,4.64%,"$76,716,848,281"
2025-12-10 23:05:25,TRON TRX Buy,$0.2772,1.69%,"$26,248,782,165"
2025-12-10 23:05:25,Dogecoin DOGE Buy,$0.1465,3.56%,"$22,293,466,157"
2025-12-10 23:12:04,CoinMarketCap 20 Index DTF CMC20 Buy,$197.51,1.49%,"$6,739,298"
2025-12-10 23:12:04,Bitcoin BTC Buy,"$92,434.63",1.43%,"$1,845,020,917,705"
2025-12-10 23:12:05,Ethereum ETH Buy,"$3,365.68",0.19%,"$406,222,646,154"
2025-12-10 23:12:05,Tether USDT Buy,$1.00,0.01%,"$186,086,500,212"
2025-12-10 23:12:05,XRP XRP Buy,$2.06,3.66%,"$124,844,623,401"
2025-12-10 23:12:05,BNB BNB Buy,$895.98,2.33%,"$123,409,330,619"
2025-12-10 23:12:05,USDC USDC Buy,$1.00,0.00%,"$78,320,318,263"
2025-12-10 23:12:05,Solana SOL Buy,$136.71,4.54%,"$76,777,834,171"
2025-12-10 23:12:05,TRON TRX Buy,$0.2773,1.65%,"$26,257,392,541"
2025-12-10 23:12:05,Dogecoin DOGE Buy,$0.1461,3.28%,"$22,237,089,307"
